Category,Category Description,Item,Item Description,Item Base Price,Group,Min,Max,Modifiers,Calories,POS ID,Barcode
Hot Sandwiches,,Chicken Milano,"Homemade chicken salad, mozzarella, cheddar, roasted reds, fresh basil on Tandoori naan bread.",7.57,,,,,530-1070,,
,,,,,Make it a combo,,,"Chips (+2.49), Drink",,,
Wraps,,Buffalo Wrap,"Fresh chicken, cheddar, tomato, romaine lettuce, buffalo sauce, blue cheese dressing.",7.46,,,,,640,0,
,,Tuscon Wrap,"Fresh chicken, hickory smoked bacon, cheddar, romaine lettuce, tomato, toasted almonds, creamy ranch dressing.",7.46,,,,,1040,0,
,,"Turkey, Bacon, Avocado Wrap","On a whole wheat tortilla. Turkey, hickory smoked bacon, fresh avocado, romaine lettuce, tomato, basil pesto aioli.",8.1,,,,,600-1100,0,
,,Chicken Salad Wrap,"Homemade chicken salad, tomato, romaine lettuce.",7.13,,,,,600-1100,0,
Signature Sandwiches,,Chicken Melt on French Roll,"Homemade chicken salad, melted cheddar cheese, tomato, hickory smoked bacon, romaine lettuce",8.45,,,,,880,0,
,,BBLT on Honey Wheat Bread,"Six slices of hickory smoked bacon, romaine lettuce, tomato, mayo ",7.68,,,,,640,0,
,,Original Veggie on French Roll,"Fresh avocado, romaine lettuce, tomato, cucumber, roasted reds, provolone cheese, mayo",7.46,,,,,560,0,
,,Chicken Milano,"Homemade chicken salad, mozzerlla cheese, cheddar cheese, roasted reds, fresh basil on tandoori naan",7.57,,,,,1070,0,
,,Chicken Salad & Apples on Multi-Grain Roll,"Homemade chicken salad, blue cheese dressing, hickory smoked bacon, & granny smith apples",7.57,,,,,810,0,
,,Cadillac Chicken on Multi- Grain Roll,"Fresh chicken breast, provolone cheese, hickory smoked bacon, romaine lettuce, tomato & honey mustard",7.46,,,,,860,0,
,,Pimento Cheese & Apples on Multi-Grain Roll,"Homemade pimento cheese, granny smith apples & hickory smoked bacon",7.24,,,,,690,0,
Gourmet Sandwiches,,Turkey Cheezer,"On a French roll. Oven-roasted turkey, provolone, romaine lettuce, tomato, mayo.",7.24,,,,,400-800,0,
,,Chicken Salad on Croissant,"Homemade chicken salad, romaine lettuce, tomato",7.13,,,,,520,0,
Sides,,Chips,,1.37,,,,,,0,
,,20oz Coca-Cola Product,,2.18,,,,,,0,
,,Dasani Water,,2.18,,,,,,0,
,,Minute Maid Beverage,,2.18,,,,,,0,
,,Fruit Cup,,3.83,,,,,,0,
,,Vitamin Water,,2.18,,,,,,0,
,,Smart Water,,2.4,,,,,,0,
 Soups & Salads,,Chicken Noodle Soup,,4.71,,,,,,,
,,,,,Size,1,1,"Small, Large (+2.10)",,,
,,Cobb Salad,"Romaine lettuce, chicken.",7.24,,,,,730-1000,0,
,,Chef Salad,"Romaine lettuce, oven roasted turkey, ham, cheddar cheese, egg, cucumber, tomato",7.68,,,,,250,0,
Hot Coffee,,Drip,,1.92,,,,,,,
,,,,,Size,1,1,"12 oz, 16 oz (+0.25), 20 oz (+0.50)",,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,,,,Customize,,,"Decaf, Make with Only 1 Espresso Shot, 1 Extra Espresso Shot (+0.90), 2 Extra Espresso Shots (+1.80), Add Whipped Cream",,,
,,Latte,,3.3,,,,,,,
,,,,,Size,1,1,"12 oz, 16 oz (+0.50), 20 oz (+1.05)",,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,Mocha,,3.85,,,,,,,
,,,,,Size,1,1,"12 oz, 16 oz (+0.25), 20 oz (+0.75)",,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,White Mocha,,4.07,,,,,,,
,,,,,Size,1,1,"12 oz, 16 oz (+0.55), 20 oz (+1.10)",,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,Caramel Macchiato,,3.85,,,,,,,
,,,,,Size,1,1,"12 oz, 16 oz (+0.30), 20 oz (+0.55)",,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,Americano,,2.47,,,,,,,
,,,,,Size,1,1,"12 oz, 16 oz (+0.40), 20 oz (+0.80)",,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,Hot Tea,,2.4,,,,,,,
,,,,,Size,1,1,"12 oz, 16 oz (+0.20), 20 oz (+0.50)",,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
Cold Coffee,,Cold Brewed Iced Coffee,16 oz.,2.84,,,,,,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,Iced Latte,16 oz.,3.94,,,,,,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,Iced Mocha,16 oz.,4.27,,,,,,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,Iced White Mocha,16 oz.,4.82,,,,,,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
,,Iced Americano,16 oz.,3.17,,,,,,,
,,,,,Add Syrup,,,"Vanilla (+0.50), Sugar-Free Vanilla (+0.50), Caramel (+0.50), Sugar-Free Caramel (+0.50), Hazelnut (+0.50)",,,
