Name,Nutritional Data
Caramel Apple Spice,Kids 220 Short 220 Tall 310 Grande 380 Venti® 460
Apple Crisp Creme Frappuccno,Tall 280 Grande 400 Venti 470
Apple Crisp Frappuccino,Tall 320 Grande 460 Venti 550
Caramel Frappuccino® Blended Beverage,Tall 260 Grande 380 Venti® 470
Caramel Ribbon Crunch Frappuccino® Blended Beverage,Tall 330 Grande 470 Venti® 570
Coffee Frappuccino® Blended Beverage,Tall 160 Grande 230 Venti® 310
Double Chocolaty Chip Crème Frappuccino® Blended Beverage,Tall 290 Grande 410 Venti® 510
Java Chip Frappuccino® Blended Beverage,Tall 320 Grande 440 Venti® 560
Matcha Green Tea Frappuccino® Blended Crème,Tall 300 Tall 300 Grande 420 Venti® 520
Mocha Cookie Crumble Frappuccino® Blended Beverage,Tall 350 Grande 480 Venti® 590
Mocha Frappuccino® Blended Beverage,Tall 250 Grande 370 Venti® 470
Pumpkin Spice Frappuccino® Blended Beverage,Tall 290 Grande 420 Venti® 510
Strawberry Frappuccino® Blended Beverage,Tall 250 Grande 370 Venti® 460
Vanilla Bean Crème Frappuccino® Blended Beverage,Tall 260 Grande 380 Venti® 470
Brewed Coffee All Roasts,Grande 5 Short 5 Tall 5 Venti® 5
Caffè Misto,Short 50 Tall 80 Grande 110 Venti® 130
Cold Brew w/ Cinnamon Almondmilk Foam,Tall 30 Grande 40 Venti® 40 Trenta 45
Cold Brew w/ Cinnamon Oatmilk Foam,Tall 40 Grande 50 Venti® 50 Trenta 60
Cold Brew w/ Dark Cocoa Almondmilk Foam,Tall 30 Grande 40 Venti® 40 Trenta 50
Cold Brew w/ Salted Honey Cold Foam,Tall 30 Grande 40 Venti® 40 Trenta 45
Cold Brewed Coffee,Grande 5 Tall 5 Trenta 5 Venti® 5
Honey Almondmilk Cold Brew,Tall 30 Grande 50 Venti® 80 Trenta 100
Honey Almondmilk Nitro Cold Brew,Tall 30 Grande 50
Iced Coffee,Tall 60 Grande 80 Venti® 120 Trenta 160
Iced Coffee Vanilla or Caramel,Tall 70 Grande 90 Venti® 130 Trenta 180
Nitro Cold Brew,Grande 5 Tall 5
Nitro Cold Brew w/ Cinnamon Almondmilk Foam,Tall 35 Grande 40
Nitro Cold Brew w/ Cinnamon Oatmilk Foam,Tall 40 Grande 50
Nitro Cold Brew w/ Dark Cocoa Almondmilk Foam,Tall 30 Grande 40
Nitro Cold Brew w/ Salted Honey Cold Foam,Tall 30 Grande 40
Pumpkin Cream Cold Brew,Tall 140 Grande 250 Venti® 310 Trenta 360
Salted Caramel Cream Cold Brew,Tall 160 Grande 220 Venti® 270 Trenta 310
Salted Caramel Cream Nitro Cold Brew,Tall 160 Grande 230
Vanilla Sweet Cream Cold Brew,Tall 90 Grande 110 Venti® 200 Trenta 220
Vanilla Sweet Cream Nitro Cold Brew,Grande 70 Tall 70
Apple Crisp Macchiato,Short 140 Tall 220 Grande 300 Venti® 370
Caffè Americano,Short 5 Tall 10 Grande 15 Venti® 15
Caffè Latte,Short 100 Tall 150 Grande 190 Venti® 250
Caffè Mocha,Short 200 Tall 290 Grande 370 Venti® 450
Cappuccino,Short 70 Tall 100 Grande 140 Venti® 200
Caramel Macchiato,Short 120 Tall 190 Grande 250 Venti® 310
Cinnamon Dolce Latte,Short 190 Tall 270 Grande 340 Venti® 420
Coconutmilk Cascara Latte,Short 70 Tall 100 Grande 130 Venti® 170
Coconutmilk Cascara Latte w/ Starbucks Blonde Espresso,Short 70 Tall 100 Grande 130 Venti® 170
Espresso,Solo 5 Doppio 10 Triple 15 Quad 20
Flat White,Short 110 Tall 170 Grande 220 Venti® 290
Honey Almondmilk Latte,Short 80 Tall 120 Grande 170 Venti® 210
Honey Flat White,Short 80 Tall 120 Grande 170 Venti® 210
Honey Latte,Short 140 Tall 200 Grande 270 Venti® 360
Iced Apple Crisp Macchiato,Tall 210 Grande 280 Venti 380
Iced Blonde Vanilla Latte,Tall 140 Grande 190 Venti® 270
Iced Brown Sugar Oatmilk Shaken Espresso,Tall 90 Grande 120 Venti® 170
Iced Caffè Americano,Tall 10 Grande 15 Venti® 15
Iced Caffè Latte,Tall 100 Grande 130 Venti® 180
Iced Caramel Macchiato,Tall 180 Grande 250 Venti® 350
Iced Chocolate Almondmilk Shaken Espresso,Tall 80 Grande 110 Venti® 150
Iced Classic Shaken Espresso,Tall 80 Grande 100 Venti® 160
Iced Coconutmilk Cascara Latte,Tall 70 Grande 90 Venti® 130
Iced Coconutmilk Cascara Latte w/ Starbucks Blonde Espresso,Tall 70 Grande 90 Venti® 130
Iced Honey Flat White,Tall 100 Grande 140 Venti® 200
Iced Honey Latte,Tall 160 Grande 210 Venti® 300
Iced Pumpkin Spice Latte,Tall 270 Grande 370 Venti® 480
Iced Vanilla Latte,Tall 140 Grande 190 Venti® 270
Iced White Chocolate Mocha,Tall 310 Grande 420 Venti® 560
Pumpkin Spice Latte,Short 210 Tall 300 Grande 390 Venti® 470
Vanilla Latte,Short 130 Tall 200 Grande 250 Venti® 320
Vanilla Latte w/ Coconutmilk,Short 100 Tall 160 Grande 210 Venti® 260
White Chocolate Mocha,Short 230 Tall 340 Grande 430 Venti® 530
Hot Chocolate,Short 190 Tall 280 Grande 370 Venti® 450
Almondmilk per 240 mL,N/A 60 N/A 60
Coconutmilk per 240 mL,N/A 80 N/A 80
Espresso Shot,N/A 5 N/A 5
Flavor per Pump,N/A 0-25 N/A 0-25
Oatmilk per 240 mL,N/A 140
Soymilk per 240 mL,N/A 130 N/A 130
Dragon Drink,Tall 100 Grande 130 Venti® 190 Trenta 270
Kiwi Starfruit Refreshers™ Beverage,Tall 70 Grande 90 Venti® 130 Trenta 180
Kiwi Starfruit Refreshers™ Lemonade,Tall 110 Grande 140 Venti® 200 Trenta 270
Mango Dragonfruit Refreshers™ Beverage,Tall 70 Grande 90 Venti® 130 Trenta 180
Mango Dragonfruit Refreshers™ Lemonade,Tall 110 Grande 140 Venti® 200 Trenta 280
Pink Drink,Tall 110 Grande 140 Venti® 200 Trenta 270
Star Drink,Tall 100 Grande 130 Venti® 190 Trenta 260
Strawberry Acai Starbucks Refreshers™ Beverage,Tall 80 Grande 100 Venti® 140 Trenta 190
Strawberry Acai Starbucks Refreshers™ Lemonade,Tall 110 Grande 140 Venti® 210 Trenta 290
Very Berry Hibiscus Starbucks Refreshers™ Beverage,Tall 50 Grande 70 Venti® 90 Trenta 130
Very Berry Hibiscus Starbucks Refreshers™ Lemonade,Tall 90 Grande 120 Venti® 170 Trenta 230
Chai Tea Latte,Short 120 Tall 190 Grande 240 Venti® 310
Honey Citrus Mint Tea,Short 60 Tall 80 Grande 130 Venti® 150
Hot Brewed Tea All Flavors,Grande 0-10 Venti® 0-10 Short 0-5 Tall 0-5
"Hot Brewed Tea Royal English Breakfast Black, Mint Majesty Herbal Tea"   Mint Majesty Herbal Tea"   Mint Majesty Herbal Tea"   Mint Majesty Herbal Tea" 
Iced Chai Tea Latte,Tall 180 Grande 240 Venti® 350
Iced Guava Passionfruit Coconutmilk Drink,Tall 140 Grande 190 Venti® 290
Iced London Fog Tea Latte,Tall 100 Grande 140 Venti® 210 Trenta 260
Iced Matcha Green Tea Latte,Tall 140 Grande 200 Venti® 280
Iced Pineapple Matcha Coconutmilk Drink,Tall 130 Grande 170 Venti® 250
Iced Royal English Breakfast Tea Latte,Tall 100 Grande 140 Venti® 210 Trenta 260
London Fog Tea Latte,Short 90 Tall 140 Grande 180 Venti® 230
Matcha Green Tea Latte,Short 110 Tall 190 Grande 240 Venti® 320
Royal English Breakfast Tea Latte,Short 80 Tall 110 Grande 150 Venti® 190
Teavana Iced Guava Black Tea,Tall 50 Grande 70 Venti® 100 Trenta 130
Teavana Iced Guava Black Tea Lemonade,Tall 70 Grande 90 Venti® 140 Trenta 180
Teavana Iced Peach Green Tea,Tall 45 Grande 60 Venti® 90 Trenta 120
Teavana Iced Peach Green Tea Lemonade,Tall 60 Grande 80 Venti® 130 Trenta 170
Teavana Shaken Iced Black Tea,Tall 0 Grande 0 Venti® 0 Trenta 0
Teavana Shaken Iced Black Tea Lemonade,Tall 35 Grande 50 Venti® 70 Trenta 90
Teavana Shaken Iced Green Tea,Tall 0 Grande 0 Venti® 0 Trenta 0
Teavana Shaken Iced Green Tea Lemonade,Tall 35 Grande 50 Venti® 70 Trenta 90
Teavana Shaken Iced Passion Tango Tea,Tall 0 Grande 0 Venti® 0 Trenta 0
Teavana Shaken Iced Passion Tango Tea Lemonade,Tall 35 Grande 50 Venti® 70 Trenta 90