Name,Global ID
"Iced Guava Black Tea", SB0304
"Iced Guava Black Tea Lemonade", SB0305
"Iced Guava Passionfruit Drink", SB0534
"Iced Guava White Tea", SB0128
"Iced Guava White Tea Lemonade", SB0129
"Iced Herbal Teas", sbuxtemplate0030
"Iced Herbal Teas, sbuxtemplate0038
"Iced Honey Oatmilk Latte", SB0552
"Iced Komodo Dragon Clover®", SB0347
"Iced Latte Macchiato", SB0130
"Iced Lattes", sbuxtemplate0023
"Iced Lattes/Iced Macchiatos/Iced Mochas/Iced Clover Brewed Coffees", sbuxtemplate0040
"Iced Lemon Loaf Cake", SB0131
"Iced London Fog Tea Latte", SB0366
"Iced Macchiatos", sbuxtemplate0024
"Iced Matcha Lemonade", SB0133
"Iced Matcha Tea Latte", SB0132
"Iced Mochas", sbuxtemplate0025
"Iced Nicaragua Monimbo Clover®", SB0389
"Iced Oat Honey Latte", SB0435
"Iced Oat Honey Latte with Starbucks Blonde® Espresso", SB0434
"Iced Oatmilk Honey Latte", SB0429
"Iced Oatmilk Honey Latte with Starbucks® Blonde Espresso", SB0426
"Iced Organic Yukon Blend® Clover®", SB0348
"Iced Papua New Guinea Roots No. 1 Clover®", SB0404
"Iced Papua New Guinea Ulya Clover®", SB0377
"Iced Passion Tango® Tea", SB0555
"Iced Passion Tango® Tea Lemonade", SB0134
"Iced Passion Tango™ Tea", SB0135
"Iced Peach Green Tea", SB0138
"Iced Peach Green Tea Lemonade", SB0139
"Iced Peppermint Mocha", SB0514
"Iced Peppermint White Chocolate Mocha", SB0516
"Iced Peru San Ignacio Clover®", SB0401
"Iced Pike Place® Roast Clover®", SB0350
"Iced Pineapple Matcha Coconutmilk Latte", SB0535
"Iced Pistachio Latte", SB0222
"Iced Pumpkin Spiced Latte", SB0140
"Iced Reserve Bar Caffè Americano", SB0529
"Iced Royal English Breakfast Tea Latte", SB0367
"Iced Salted Caramel Mocha", SB0141
"Iced Shaken Espresso", SB0533
"Iced Skinny Cinnamon Dolce Latte", SB0142
"Iced Skinny Mocha", SB0143
"Iced Starbucks® Blonde Caffè Americano", SB0144
"Iced Starbucks® Blonde Caffè Latte", SB0145
"Iced Starbucks® Blonde Caramel Cloud Macchiato* (Contains eggs)", SB0412
"Iced Starbucks® Blonde Cocoa Cloud Macchiato* (Contains eggs)", SB0416
"Iced Starbucks® Blonde Vanilla Latte", SB0146
"Iced Sugar Cookie Almondmilk Latte", SB0521
"Iced Sumatra Clover®", SB0329
"Iced Sumatra Lake Toba Clover®", SB0393
"Iced Sundried Brazil Sertao Clover®", SB0399
"Iced Toasted White Chocolate Mocha", SB0519
"Iced Vanilla Bean Coconutmilk Latte", SB0147SB0197
"Iced Vanilla Latte", SB0320
"Iced Veranda Blend® Clover®", SB0357
"Iced White Chocolate Mocha", SB0149
"Iced White Tea", SB0150
"Iced White Tea Lemonade", SB0151
"Impossible™ Breakfast Sandwich", SB0436
"Irish Cream Cold Brew", SB0291
"Irish Cream Nitro Cold Brew", SB0289
"Italian Roast Clover®", SB0342
"Jade Citrus Mint® Brewed Tea", SB0394
"Java Chip Frappuccino® Blended Beverage", SB0152
"Juice", sbuxtemplate0014
"Justin’s® Dark Chocolate Peanut Butter Cups", SB0153
"KIND - Almond Coconut Cashew Chai", SB0154
"KIND® Blueberry Vanilla & Cashew Bar", SB0155
"KIND® Peanut Butter Dark Chocolate Bar", SB0294
"KIND® Salted Caramel & Dark Chocolate Nut Bar", SB0156
"Kale & Farro Salad", SB0549
"Kenya Clover®", SB0337
"Kettle Corn", SB0473
"Kiwi Inclusion", sbuxmods_inventory0031
"Kiwi Starfruit Lemonade Starbucks Refreshers® Iced Beverage", SB0297
"Kiwi Starfruit Starbucks Refreshers® Iced Beverage", SB0295
"Kiwifruit Inclusion", SBMOD0089
"Komodo Dragon Clover®", SB0335
"Latte Macchiato", SB0198SB0157
"Lattes", sbuxtemplate0006
"Lemon Cake Pop", SB0158
"Lemon Crunch Yogurt Parfait", SB0159
"Lemonade", SB0160sbuxmods_inventory0077
"Lemonade (splash)", SBMOD0039
"Lime-Frosted Coconut Bar", SB0216
"Liquid Cane Sugar", SBMOD0031sbuxmods_inventory0028
"Lite", sbuxmods_inventory0007
"London Fog Tea Latte", SB0365
"Macchiatos", sbuxtemplate0007
"Madeleines", SB0161
"Mallorca Sweet Bread", SB0439
"Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage", SB0162
"Mango Dragonfruit Starbucks Refreshers® Beverage", SB0163
"Marshmallow Dream Bar", SB0164
"Marshmallow Whip Cream", SBMOD0060
"Master Modifier Template", sbuxtemplate0035
"Matcha Crème Frappuccino® Blended Beverage", SB0165
"Matcha Powder", SBMOD0072sbuxmods_inventory0074
"Matcha Tea Latte", SB0166
"Medium Roast", SBMOD0040
"Milk", SB0167asdasdsadas
"Mint Majesty®", SB0371
"Mocha Cookie Crumble Frappuccino® Blended Beverage", SB0170
"Mocha Drizzle", SBMOD0025sbuxmods_inventory0041
"Mocha Frappuccino® Blended Beverage", SB0172
"Mocha Sauce", SBMOD0022sbuxmods_inventory0057
"Mochas", sbuxtemplate0008
"Moon Cheese™ –  Cheddar", SB0173
"Morning Bun", SB0057
"Nicaragua Monimbo Clover®", SB0388
"Nitro Cold Brew", SB0382
"Nitro Cold Brew with Cinnamon Almondmilk Foam", SB0301
"Nitro Cold Brew with Cinnamon Oatmilk Foam", SB0303
"Nitro Cold Brew with Dark Cocoa Almondmilk Foam", SB0302
"Nitro Cold Brew with Sweet Cream", SB0402
"Nitro Flat White", SB0395
"Nitro Latte", SB0408
"No Ice", SBMOD0083
"Nonfat Milk", sbuxmods_inventory0011
"Nutmeg Powder", SBMOD0047sbuxmods_inventory0022
"Oat Honey Latte with Starbucks Blonde® Espresso", SB0432
"Oat Milk", SBMOD0008
"Oatmilk", sbuxmods_inventory0017
"Oatmilk Honey Latte", SB0423SB0433
"Oatmilk Honey Latte with Starbucks® Blonde Espresso", SB0419
"Old-Fashioned Glazed Doughnut", SB0174
"Orange", SB0471
"Organic Apple Juice", SB0003
"Organic Yukon Blend® Clover®", SB0336
"PB&J Protein Box", SB0175
"POP! - Sunflower Oil & Sea Salt", SB0456
"Papua New Guinea Roots No. 1 Clover®", SB0403
"Papua New Guinea Ulya Clover®", SB0378
"Passion Tango Tea", sbuxmods_inventory0083
"Passion Tango Tea (splash)", SBMOD0066
"Peach Blend", SBMOD0075
"Peach Juice Blend", sbuxmods_inventory0078
"Peach Tea Infusion", SB0176
"Peach Tea Infusion Lemonade", SB0177
"Peach Tranquility®", SB0370
"Peppermint Brownie Cake Pop", SB0179
"Peppermint Gum", SB0180
"Peppermint Hot Chocolate", SB0181
"Peppermint Mints", SB0182
"Peppermint Mocha", SB0183
"Peppermint Mocha Crème Frappuccino® Blended Beverage", SB0515
"Peppermint Mocha Frappuccino® Blended Beverage", SB0184
"Peppermint Syrup", SBMOD0015sbuxmods_inventory0063
"Peppermint White Chocolate Crème Frappuccino Blended Beverage", SB0517
"Peppermint White Chocolate Mocha", SB0185
"Peppermint White Chocolate Mocha Frappuccino® Blended Beverage", SB0187
"Peppermint White Hot Chocolate", SB0186
"Perfect Bar® Peanut Butter", SB0075
"Perfect Bar® – Dark Chocolate Chip Peanut Butter", SB0074
"Peru San Ignacio Clover®", SB0400
"Peter Rabbit™ Organics Apple & Grape", SB0188
"Peter Rabbit™ Organics Strawberry Banana", SB0189
"Petite Vanilla Bean Scone", SB0190
"Pike Place® Roast", SB0016SB0191
"Pinapple Ginger Syrup", sbuxmods_inventory0064
"Pineapple Coconut Green Smoothie", SB0544
"Pineapple Ginger Syrup", SBMOD0016sbuxmods_inventory0071
"Pink Drink", SB0194
"Pistachio Coffee Frappuccino® Blended Beverage", SB0242
"Pistachio Crème", SB0244
"Pistachio Crème Frappuccino® Blended Beverage", SB0225
"Pistachio Latte", SB0218
"Plain Bagel", SB0195
"Plain Cream Cheese", sbuxmods_inventory0085
"Plant-Based Breakfast Sandwich", SB0208
"Potato, SB0546
"Praline Topping", SBMOD0052
"Prosnax Carrots, SB0285SB0286
"Prosnax Gala Apples, SB0486SB0485
"Prosnax Green Apples, SB0284
"Pumpkin Bread", SB0196
"Pumpkin Spice Topping", SBMOD0062
"Raspberry Syrup", SBMOD0017sbuxmods_inventory0065
"Raspberry Walnut & Oat Nut Square", SB0217
"Red Velvet Loaf Cake (1/5 - 5/9)", SB0556
"Reduced-Fat Turkey Bacon & Cage-Free Egg White Sandwich", SB0199
"Regular", sbuxmods_inventory0037sbuxmods_inventory0087
"Reserve Bar Caffè Americano", SB0530
"Rev Up Brewed Wellness Tea", SB0387
"Rhythm Super Foods Kale Chips - Sea Salt", SB0462
"Rip van Wafels – Honey & Oats", SB0200
"Roasted Ham, SB0201
"Royal English Breakfast Tea", SB0368
"Royal English Breakfast Tea Latte", SB0364
"Saccarin", SBMOD0033
"Saccharin (pink)", sbuxmods_inventory0025
"Salt & Vinegar Kettle Potato Chips", SB0205
"Salt Topping", SBMOD0053
"Salted Almond Chocolate Bites", SB0206
"Salted Caramel Cream Cold Brew", SB0406
"Salted Caramel Cream Nitro Cold Brew", SB0407
"Salted Honey Cold Foam", SBMOD0051sbuxmods_inventory0052
"Salted Sweet Cream Cold Foam", SBMOD0050
"San Pellegrino® Limonata", SB0541
"Sausage, SB0211
"Seared Steak & Cheddar Sandwich", SB0467
"Seasonal Fruit Blend", SB0440
"Seasonal Roasted Sweet Potato & Apple Harvest", SB0481
"Short", sbuxmods_inventory0001
"Shortbread Cookies", SB0212
"Siggi's® Yogurt Cup 0% Vanilla", SB0213
"Signature", SBMOD0035
"Simply Salted Kettle Potato Chips", SB0214
"Single", sbuxmods_inventory0034
"Single Shot", SBMOD0034
"Skim Milk", SBMOD0003
"Skinny Caramel Macchiato", SB0207
"Skinny Cinnamon Dolce Latte", SB0292
"Small Shopping Bag", SB0457
"Snowman Cake Pop (11/6 -1/4)", SB0219
"Snowman Cookie (11/6 -1/4)", SB0220
"Sous Vide Egg Bites - Kale & Portabella Mushroom (begins 1/5)", SB0563
"Southwest Veggie Wrap", SB0006
"Soy Milk", SBMOD0009
"Soymilk", sbuxmods_inventory0016
"Spinach, SB0226
"Spindrift® Grapefruit Sparkling Water", SB0227
"Spindrift® Raspberry Lime Sparkling Water", SB0228
"Splenda", sbuxmods_inventory0026
"Splenda®", SBMOD0028
"Sprouted Grain Vegan Bagel", SB0230
"Squirrel Brand® Fruit & Nut", SB0232
"Squirrel Brand® – Classic Almonds", SB0231
"Star Drink", SB0296
"Starbucks Doubleshot® Espresso & Cream", SB0537
"Starbucks Doubleshot® on Ice", SB0233
"Starbucks Refreshers®", sbuxtemplate0032
"Starbucks Refreshers™ Blueberry Acai", SB0539
"Starbucks Refreshers™ Raspberry Pomegranate", SB0538
"Starbucks Reserve® Cold Brew", SB0379
"Starbucks Reserve® Dark Chocolate Mocha", SB0384
"Starbucks Reserve® Hazelnut Bianco Latte", SB0396
"Starbucks Reserve® Iced Dark Chocolate Mocha", SB0385
"Starbucks Reserve® Iced Hazelnut Bianco Latte", SB0397
"Starbucks Reserve® Iced Latte", SB0380
"Starbucks Reserve® Latte", SB0381
"Starbucks Reserve® Nitro Cold Brew", SB0383
"Starbucks® BBQ Potato Chips", SB0009
"Starbucks® Blonde Caffè Americano", SB0235
"Starbucks® Blonde Caffè Latte", SB0236
"Starbucks® Blonde Cappuccino", SB0237
"Starbucks® Blonde Caramel Cloud Macchiato* (Contains eggs)", SB0413
"Starbucks® Blonde Cocoa Cloud Macchiato* (Contains eggs)", SB0417
"Starbucks® Blonde Doubleshot® On Ice", SB0238
"Starbucks® Blonde Flat White", SB0239
"Starbucks® Blonde Vanilla Latte", SB0240
"Starbucks® Cold Brew Coffee", SB0066
"Starbucks® Cold Brew Coffee with Milk", SB0374
"Starbucks® Dark Chocolate Salted Peppermint Bark 3.5 oz (11/6 -1/4)", SB0077
"Starbucks® Dark Chocolate Sea Salt Caramels 4 oz (11/6 -1/4)", SB0560
"Starbucks® Milk Chocolate Cranberries", SB0168
"Steamed Apple Juice", SB0241
"Steamed Milk", SB0243
"Steamers", sbuxtemplate0015
"Stevia", SBMOD0029
"Strawberries", SBMOD0070sbuxmods_inventory0032
"Strawberry Açaí Lemonade Starbucks Refreshers® Iced Beverage", SB0245
"Strawberry Açaí Starbucks Refreshers® Iced Beverage", SB0246
"Strawberry Frappuccino® Blended Beverage", SB0248
"Strawberry Funnel Cake Crème Frappuccino® Blended Beverage", SB0472
"Strawberry Funnel Cake Frappuccino® Blended Beverage", SB0430
"Strawberry Overnight Grains", SB0249
"Strawberry Puree", sbuxmods_inventory0033
"Strawberry Purée", SBMOD0071
"String Cheese", SB0234
"Sugar", SBMOD0026sbuxmods_inventory0027
"Sugar Cookie Almondmilk  Frappuccino®  Blended Beverage", SB0526
"Sugar Cookie Almondmilk Crème Frappuccino® Blended Beverage", SB0525
"Sugar Cookie Almondmilk Latte", SB0522
"Sugar Free Cinnamon Dolce Syrup", SBMOD0018sbuxmods_inventory0066
"Sugar Free Vanilla Syrup", SBMOD0019sbuxmods_inventory0067
"Sugar Plum Cheese Danish (11/6 - 11/4)", SB0252
"Sugar in the Raw", SBMOD0030sbuxmods_inventory0024
"Sumatra Clover®", SB0328
"Sumatra Lake Toba Clover®", SB0392
"Sun-Dried Papua New Guinea Ulya Chemex Starbucks Reserve®", SB0499
000 smallholder farmers have committed themselves to the delicate method of sun-drying coffee—a rarity in Papua New Guinea. For the second year, In the Western Highlands of Papua New GuineaIn the Western Highlands of Papua New GuineaIn the Western Highlands of Papua New Guinea
"Sun-Dried Papua New Guinea Ulya Clover X Starbucks Reserve®", SB0500
"Sun-Dried Papua New Guinea Ulya Coffee Press Starbucks Reserve®", SB0501
"Sun-Dried Papua New Guinea Ulya Iced Pour Over Starbucks Reserve®", SB0502
000 smallholder farmers have committed themselves to the delicate method of sun-drying coffee—a rarity here. For the second year, In the Western Highlands of Papua New GuineaIn the Western Highlands of Papua New GuineaIn the Western Highlands of Papua New Guinea
"Sun-Dried Papua New Guinea Ulya Pour Over Starbucks Reserve®", SB0503
"Sun-Dried Papua New Guinea Ulya Siphon Starbucks Reserve®", SB0504
"Sundried Brazil Sertao Clover®", SB0398
"Sweet Cream", sbuxmods_inventory0018
"Sweet Cream Cold Foam", SBMOD0049
"Sweet Potato Kettle Potato Chips", SB0253
"Sweetened Condensed Milk 14 oz. (GSF-Hawaii Only)", SB0558
"S’mores Frappuccino® Blended Crème", SB0204
"Tall", sbuxmods_inventory0002
"Target Bullseye Cookie", SB0490
"Tea Bag", sbuxmods_inventory0075
"Teavana(TM/MC) Sparkling Blood Orange Mango White Tea", SB0256SB0258
"Teavana® Mango Black Tea", SB0542
"Teavana® Sparkling Unsweetened Peach Nectarine Green Tea", SB0554
"That's It® – Apple + Blueberry Bar", SB0262
"That's It® – Apple + Mango Bar", SB0261
"The Classic – Bantam Bagels (2-pack)", SB0451
"This Bar Saves Lives™ Madagascar Vanilla Almond & Honey Bar", SB0255
"This Bar Saves Lives™ – Dark Chocolate Cherry & Sea Salt Bar", SB0459
"This Bar Saves Lives™ – Dark Chocolate Peanut Butter & Sea Salt Bar", SB0254
"This Bar Saves Lives™ – Wild Blueberry Pistachio Bar", SB0460
"Tillamook Medium Cheddar", SB0482
"Tillamook Sharp White Cheddar", SB0483
"Toasted", SBMOD0082
"Toasted Almond & Banana Nut Square", SB0215
"Toasted Honey Topping", sbuxmods_inventory0048
"Toasted White Chocolate Crème Frappuccino® Blended Beverage", SB0520
"Toasted White Chocolate Mocha", SB0265
"Toasted White Chocolate Mocha Frappuccino® Blended Beverage", SB0266
"Toasted White Hot Chocolate", SB0518
"Toffee Nut Syrup", SBMOD0020sbuxmods_inventory0068
"Tomato & Mozzarella", SB0442
"Tree Top Apple Juice Box", SB0269
"Trenta", sbuxmods_inventory0005
"Triple", sbuxmods_inventory0036
"Turkey & Basil Pesto", SB0270
"Turkey Pesto Panini", SB0448
"Unicorn Cake Pop", SB0288
"Vanilla Bean Crème Frappuccino® Blended Beverage", SB0272
"Vanilla Bean Powder", sbuxmods_inventory0019
"Vanilla Bean Whoopie Pie", SB0475
"Vanilla Biscotti with Almonds", SB0273
"Vanilla Crème", SB0274
"Vanilla Latte", SB0319
"Vanilla Powder", SBMOD0077
"Vanilla Sweet Cream Cold Brew", SB0276
"Vanilla Sweet Cream Cold Foam", sbuxmods_inventory0050
"Vanilla Syrup", SBMOD0010sbuxmods_inventory0069
"Veggie & Brown Rice Salad Bowl", SB0446
"Venti", sbuxmods_inventory0004
"Veranda Blend® Clover®", SB0356
"Very Berry Hibiscus Lemonade Starbucks Refreshers® Iced Beverage", SB0277
"Very Berry Hibiscus Starbucks Refreshers™", SB0278
"Violet Drink", SB0279
"Warmed", SBMOD0081
"Whipped Cream", SBMOD0042sbuxmods_inventory0042
"White Chocolate Crème Frappuccino® Blended Beverage", SB0280
"White Chocolate Mocha", SB0281
"White Chocolate Mocha Frappuccino® Blended Beverage", SB0282
"White Chocolate Mocha Sauce", SBMOD0023sbuxmods_inventory0058
"White Hot Chocolate", SB0283
"White Tea (splash)", SBMOD0067
"Whole", SBMOD0002
"Whole Milk", sbuxmods_inventory0010
"Zesty Chicken & Black Bean Salad", SB0445
"none", sbuxmods_inventory0008
