Name,Barcode
 Iced Starbucks Reserve® Zambia Isanya Estate, 011091319&011091320&011091321
Siphon Starbucks Reserve® Zambia Isanya Estate , 011091405
Iced Black Tea Latte , 011091869&011091948&011091969
No 2% Milk Creamer, 011091954
Iced Teavana® Blossoming Rose Tea Latte , 011091981&011091982&011091983
Peach Ginger Spritz , 011092122&011092124&011092125
 Strawberry Acai Lemonade Starbucks Refreshers®, 011092418&011092419&011092420&011092421
 Very Berry Hibiscus Lemonade Starbucks Refreshers®, 011092426&011092427&011092428&011092429
 Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage, 011092430&011092431&011092432&011092433
Chemex Starbucks Reserve® Sun-Dried Bolivia Kusillo Java 24 ounces, 011092771
Salted Caramel Cream Cold Brew , 011093429&011093430&011093441&011093452
Salted Caramel Cream Nitro Cold Brew , 011094129&011094130
 Cold Brew with Cold Foam, 011094325&011094326&011094327&011094328
 Dragon Drink, 011094878&011094879&011094880&011094881
Strawberry Coconut Drink , 011095200&011095201&011095204&011095205
Hops Syrup modifier light, 011096351
Hops Syrup modifier no, 011096352
Hops Syrup modifier extra, 011096353
Hops Syrup sub, 011096354
Clover® Starbucks Reserve® Costa Rica Naranjo , 011096458&011096459&011096460&011096461
Iced Clover® Starbucks Reserve® Costa Rica Naranjo , 011096462&011096463&011096464
Salted Cream Cold Foam, 011097081
Sub Salted Cream Cold Foam, 011097082
No Dried Fruit, 011098329
No Nut Medley, 011098330
No Agave, 011099050
Sub Non-Dairy Base, 011099545
Chai Tea , 011100848&011100849&011100850&011100851
Clover X Starbucks Reserve® Vietnam Da Lat , 011100946&011100947&011100948&011100949
Iced Caramel Cloud Macchiato , 011103111&011103112&011103113
 Caramel Cloud Macchiato, 011103114&011103115&011103116&011103117
 Iced Starbucks® Blonde Caramel Cloud Macchiato, 011103118&011103119&011103120
 Starbucks® Blonde Caramel Cloud Macchiato, 011103121&011103122&011103123&011103124
Iced Cocoa Cloud Macchiato , 011103380&011103381&011103382
Cocoa Cloud Macchiato , 011103383&011103384&011103385&011103386
Iced Starbucks® Blonde Cocoa Cloud Macchiato , 011103389&011103390&011103391
Starbucks® Blonde Cocoa Cloud Macchiato , 011103392&011103393&011103394&011103395
Teavana® Custom Iced Tea Latte , 011103710&011103711&011103712
No Caramel Crunch Topping, 011104447
Regular Caramel Crunch Topping, 011104448
Sub Caramel Crunch Topping, 011104449
Light Caramel Crunch Topping, 011104450
Extra Caramel Crunch Topping, 011104451
Teavana® Iced Peach Green Tea Lemonade , 011105756&011105757&011105758&011105759&011126350&011126351&011126352&011126353
Teavana® Shaken Iced Peach Green Tea , 011105760&011105761&011105763&011126346&011126348&011126349
Teavana® Iced Peach Green Tea , 011105762&011126347
Teavana® Iced Guava White Tea Lemonade , 011105764&011105765&011105766&011105767
Teavana® Iced Guava White Tea , 011105768&011105769&011105770&011105771
Clover X Starbucks Reserve® Hawaii Ka'u , 011106759&011106760&011106761&011106762
Regular Guava Juice Blend, 011107439
Sub Guava Juice Blend, 011107440
Extra Guava Juice Blend, 011107441
Light Guava Juice Blend, 011107442
Regular Peach Juice Blend, 011107443
Sub Peach Juice Blend, 011107444
Light Peach Juice Blend, 011107445
Extra Peach Juice Blend, 011107446
Pumpkin Cream Cold Brew , 011109917&011109918&011109919&011109920
Nitro Cold Brew with Pumpkin Cream Cold Foam , 011109921&011109922
Clover® Starbucks Reserve® Rainshine Blend - Ethiopia Kayon Mountain Farm , 011110168&011110169
Iced Clover® Starbucks Reserve® Rainshine Blend - Ethiopia Kayon Mountain Farm , 011110178
Irish Cream Americano , 011111731&011111732&011111734&011111735
Irish Cream Cold Brew , 011111805&011111806&011111807&011111808
Irish Cream Nitro Cold Brew , 011111809&011111810
Iced Irish Cream Americano  , 011111992&011111993&011111994
Kiwi Starfruit Starbucks Refreshers® Iced Beverage , 011112361&011112365&011112366&011112367
Star Drink , 011112368&011112369&011112370&011112371
No Honey Blend, 011112415
Add Honey Blend, 011112416
Sub Honey Blend, 011112417
Light Honey Blend, 011112418
Extra Honey Blend, 011112419
Add Oatly Oatmilk, 011112911
Sub Oatly Oatmilk, 011112912
Light Oatly Oatmilk, 011112913
Extra Oatly Oatmilk, 011112914
Regular Toasted Honey Topping, 011113092
No Toasted Honey Topping, 011113093
Sub Toasted Honey Topping, 011113094
Light Toasted Honey Topping, 011113095
Extra Toasted Honey Topping, 011113096
No Kiwi Preserved Fruit, 011113148
Add Kiwi Preserved Fruit, 011113149
Sub Kiwi Preserved Fruit, 011113150
Light Kiwi Preserved Fruit, 011113151
Extra Kiwi Preserved Fruit, 011113152
Honey Almondmilk Flat White , 011113625&011113626&011113627&011113628&011118996&011118997&011118998&011118999
Honey Oatmilk Latte , 011113629&011113630&011113631&011113632&011124551&011124552&011124553&011124554
Coconutmilk Cascara Latte , 011113633&011113634&011113635&011113636
Coconutmilk Cascara Latte with Starbucks® Blonde Espresso , 011113734&011113735&011113736&011113737
Almondmilk Honey Flat White , 011113740&011113741&011113742&011113743&011119004&011119005&011119006&011119007
Oatmilk Honey Latte , 011113745&011113746&011113747&011113748
Iced Honey Almondmilk Flat White , 011113753&011113754&011113755&011119000&011119001&011119002
Iced Coconutmilk Cascara Latte with Starbucks® Blonde Espresso , 011113794&011113795&011113796
Iced Honey Oatmilk Latte , 011113980&011113981&011113982&011124555&011124556&011124557
Iced Almondmilk Honey Flat White , 011113985&011113986&011113987&011119008&011119009&011119010
Iced Coconutmilk Cascara Latte , 011113988&011113989&011113990
Iced Oatmilk Honey Latte , 011113993&011113994&011113995
No Kiwi Starfruit Refreshers Base, 011114032
Regular Kiwi Starfruit Refreshers Base, 011114033
Sub Kiwi Starfruit Refreshers Base, 011114034
Light Kiwi Starfruit Refreshers Base, 011114035
Extra Kiwi Starfruit Refreshers Base, 011114036
No Barista Cocoa Powder, 011115116
Regular Barista Cocoa Powder, 011115117
Sub Barista Cocoa Powder, 011115118
Light Barista Cocoa Powder, 011115119
Extra Barista Cocoa Powder, 011115120
Iced Pineapple Matcha Drink , 011115292&011115293&011115294&011116528&011116529&011116530
Iced Golden Ginger Drink , 011115296&011115297&011115298
Iced Guava Black Tea , 011115306&011115307&011115308&011115309&011126334&011126335&011126336&011126337
Iced Guava Black Tea Lemonade , 011115310&011115311&011115312&011115313&011126342&011126343&011126344&011126345
Iced Guava Passionfruit Drink , 011115314&011115315&011115316
No Golden Ginger Blend Modifier, 011115318
Add Golden Ginger Blend, 011115319
Sub Golden Ginger Blend, 011115320
Light Golden Ginger Blend Modifier, 011115321
Extra Golden Ginger Blend Modifier, 011115322
No Pineapple Ginger Syrup Modifier, 011115324
Add Pineapple Ginger Syrup, 011115325
Sub Pineapple Ginger Syrup, 011115326
Light Pineapple Ginger Syrup Modifier, 011115327
Extra Pineapple Ginger Syrup Modifier, 011115328
Regular Vanilla Sweet Cream Cold Foam, 011115659
Sub Vanilla Sweet Cream Cold Foam, 011115660
No Vanilla Sweet Cream Cold Foam, 011115661
Light Vanilla Sweet Cream Cold Foam, 011115662
Extra Vanilla Sweet Cream Cold Foam, 011115663
Kiwi Starfruit Lemonade Starbucks Refreshers® Iced Beverage , 011115921&011115922&011115923&011115924
Nitro Cold Brew with Salted Honey Cold Foam , 011116511&011116512
Cold Brew with Salted Honey Cold Foam , 011116515&011116516&011116517&011116518
Clover® Starbucks Reserve® Sun-Dried Papua New Guinea Ulya , 011116705&011116706&011116707&011116708
Iced Clover® Starbucks Reserve® Sun-Dried Papua New Guinea Ulya , 011116709&011116710&011116711
No Salted Honey Cold Foam, 011116810
Salted Honey Cold Foam, 011116811
Sub Salted Honey Cold Foam, 011116812
Light Salted Honey Cold Foam, 011116813
Extra Salted Honey Cold Foam, 011116814
Spiced Chaider , 011117078
Clover® Passport Series: Anniversary Blend , 011117217&011117218&011117219&011117220
Iced Clover® Passport Series: Anniversary Blend , 011117221&011117222
Clover® Passport Series: West Java , 011117233
Iced Clover® Passport Series: West Java , 011117236
Regular Splash of Oatmilk, 011117708
Regular Cinnamon Almondmilk Foam, 011118497&011119130
Sub Cinnamon Almondmilk Foam, 011118498&011119131
Light Cinnamon Almondmilk Foam, 011118499&011119134
Extra Cinnamon Almondmilk Foam, 011118500&011119133
Dark Cocoa Almondmilk Foam, 011118504
Sub Dark Cocoa Almondmilk Foam, 011118505
Light Dark Cocoa Almondmilk Foam, 011118506
Extra Dark Cocoa Almondmilk Foam, 011118507
Cinnamon Oatmilk Foam, 011118508
Sub Cinnamon Oatmilk Foam, 011118509
Light Cinnamon Oatmilk Foam, 011118510
Extra Cinnamon Oatmilk Foam, 011118511
Cold Brew with Cinnamon Almondmilk Foam , 011118512&011118513&011118514&011118782
Cold Brew with Dark Cocoa Almondmilk Foam , 011118515&011118783&011121248&011121249
Cold Brew with Cinnamon Oatmilk Foam , 011118518&011118784&011121250&011121251
Nitro Cold Brew with Cinnamon Almondmilk Foam , 011118523&011118524
Nitro Cold Brew with Dark Cocoa Almondmilk Foam , 011118526&011118527
Nitro Cold Brew with Cinnamon Oatmilk Foam , 011118530&011118531
Regular Cinnamon Soymilk Foam, 011118836&011119145
Sub Cinnamon Soymilk Foam, 011118837&011119146
Light Cinnamon Soymilk Foam, 011118838&011119149
Extra Cinnamon Soymilk Foam, 011118839&011119148
Regular Dark Cocoa Soymilk Foam, 011118841
Light Dark Cocoa Soymilk Foam, 011118843
Extra Dark Cocoa Soymilk Foam, 011118844
Regular Dark Cocoa Oatmilk Foam, 011118849
Sub Dark Cocoa Oatmilk Foam, 011118850
Light Dark Cocoa Oatmilk Foam, 011118851
Extra Dark Cocoa Oatmilk Foam, 011118852
Apple Oat Flat White  , 011118957&011118958&011118959&011118960
Coconut Cascara Latte , 011119014&011119015&011119016&011119017
Iced Coconut Cascara Latte , 011119018&011119019&011119020
Iced Coconut Cascara Latte with Starbucks Blonde® Espresso , 011119021&011119022&011119023
Coconut Cascara Latte with Starbucks Blonde® Espresso , 011119024&011119025&011119026&011119027
Cold Brew with Cinnamon Almond Foam , 011119074&011119075&011119076&011119077
Nitro Cold Brew with Cinnamon Almond Foam , 011119080&011119081
Apple Syrup  add, 011119116
Apple Syrup modifier  no, 011119117
Apple Syrup modifier  extra, 011119118
Apple Syrup modifier  light, 011119119
Apple Syrup  sub, 011119120
Clove Sugar Topping modifier  regular, 011119122
Clove Sugar Topping modifier  sub, 011119123
Clove Sugar Topping modifier  no, 011119124
Clove Sugar Topping modifier  extra, 011119125
Clove Sugar Topping modifier  light, 011119126
No Cinnamon Almondmilk Foam, 011119132&011121995
Iced Pour Over Starbucks Reserve® Brazil Santuario Sul , 011119311
Clover X Starbucks Reserve® Brazil Santuario Sul , 011119320&011119321&011119322&011119323
Oat Latte  , 011119338&011119339&011119340&011119341
Oat Beverage  add, 011119668
Clover® Starbucks Reserve® Mount Kenya Baragwi , 011119756&011119757&011119758&011119759
Iced Clover Kenya Baragwi Brewed Coffee  , 011119763&011119764&011119765
Iced Apple Oat Flat White  , 011120270&011120271&011120272
Iced Oat Latte  , 011120577&011120578&011120579
Clover X Costa Rica Naranjo , 011120743
Chestnut Praline Crème , 011120932&011120933&011120934&011120935&011120936
Peppermint White Chocolate Crème Frappuccino Blended Beverage , 011120937&011120938&011120939
Pineapple Coconut Green Smoothie , 011121780
Pistachio Sauce add, 011121786
Pistachio Sauce no, 011121787
Pistachio Sauce sub, 011121788
Pistachio Sauce light, 011121789
Pistachio Sauce extra, 011121790
Salted Brown Butter Topping regular, 011121791
Salted Brown Butter Topping sub, 011121792
Salted Brown Butter Topping no, 011121793
Salted Brown Butter Topping light, 011121794
Salted Brown Butter Topping extra, 011121795
Clover Guatemala Huehuetenango , 011122196&011122197&011122198&011122199
Iced Clover Guatemala Huehuetenango , 011122201&011122202
Sugar Cookie Almondmilk Latte , 011122433&011122434&011122435&011122436
Iced Sugar Cookie Almondmilk Latte , 011122437&011122438&011122439
Cinnamon Spice Oatmilk Latte , 011122442
Red and Green Sprinkle Topping modifier sub, 011123071
Red and Green Sprinkle Topping modifier regular, 011123072
Red and Green Sprinkle Topping modifier no, 011123073
Red and Green Sprinkle Topping modifier light, 011123074
Red and Green Sprinkle Topping modifier extra, 011123075
Cinnamon Spice Syrup add, 011123080
Sugar Cookie Syrup sub, 011123081
Sugar Cookie Syrup modifier light, 011123083
Sugar Cookie Syrup modifier extra, 011123084
Sugar Cookie Syrup modifier no, 011123085
Sugar Cookie Syrup add, 011123088
Pumpkin Cream Cold Foam Option modifier no, 011123688
Pumpkin Cream Cold Foam Option modifier regular, 011123689
Pumpkin Cream Cold Foam Option modifier sub, 011123690
Pumpkin Cream Cold Foam Option modifier light, 011123691
Pumpkin Cream Cold Foam Option modifier extra, 011123692
Splash of Oat Beverage regular, 011123780
Splash of Oat Beverage light, 011123781
Splash of Oat Beverage extra, 011123782
Splash of Oat Beverage no, 011123783
Splash of Oat Beverage sub, 011123784
Honey Almondmilk Cold Brew  , 011124425&011124426&011124427
Honey Almondmilk Nitro Cold Brew  , 011124535&011124536
Pistachio Latte , 011124538&011124539&011124540&011124541
Pistachio Coffee Frappuccino® Blended Beverage , 011124542&011124543&011124544
Iced Pistachio Latte , 011124545&011124546&011124547
Pistachio Crème Frappuccino® Blended Beverage , 011124548&011124549&011124550
Pistachio Crème , 011124715&011124716&011124717&011124718&011124719
Sugar Cookie Almondmilk Frappuccino® Blended Beverage , 011125300&011125301&011125302
Sugar Cookie Almondmilk Crème Frappuccino® Blended Beverage , 011125303&011125304&011125312
Brown Sugar Syrup sub, 011125325
Brown Sugar Syrup modifier light, 011125326
Brown Sugar Syrup modifier extra, 011125327
Brown Sugar Syrup modifier no, 011125328
Brown Sugar Syrup add, 011125329
Iced Brown Sugar Oatmilk Shaken Espresso , 011125525&011125526&011125527
Iced Chocolate Almondmilk Shaken Espresso , 011125528&011125529&011125530
Salted Cream Cold Foam no, 011125657
Salted Cream Cold Foam light, 011125658
Salted Cream Cold Foam extra, 011125659
Iced Shaken Espresso , 011125734&011125735&011125736
Chocolate Malt Powder modifier sub, 011125799
Chocolate Malt Powder modifier no, 011125800
Chocolate Malt Powder modifier light, 011125801
Chocolate Malt Powder modifier regular, 011125802
Chocolate Malt Powder modifier extra, 011125803
Honey Almondmilk Cold Brew , 011126149
Brown Sugar Oat Americano , 011126411&011126412&011126413&011126414
Iced Clover Guatemala El Socorro , 011126947
Pour Over Guatemala El Socorro , 011126951
Iced Pour Over Guatemala El Socorro , 011126954
Iced Pour Over Colombia Finca La Reserva , 011127431
Strawberry Funnel Cake Frappuccino® Blended Beverage , 011127847&011127848&011127849
Strawberry Funnel Cake Creme Frappuccino® Blended Beverage , 011127850&011127851&011127852
Splash of Oatmilk extra, 011128033
Splash of Oatmilk light, 011128034
Splash of Oatmilk no, 011128035
Splash of Oatmilk sub, 011128036
Powdered Sugar Funnel Cake Topping sub, 011128242
Powdered Sugar Funnel Cake Topping no, 011128243
Powdered Sugar Funnel Cake Topping light, 011128244
Powdered Sugar Funnel Cake Topping regular, 011128245
Powdered Sugar Funnel Cake Topping extra, 011128246
Funnel Cake Syrup no, 011128247
Funnel Cake Syrup extra, 011128249
Funnel Cake Syrup add, 011128250
Funnel Cake Syrup sub, 011128251
Strawberry Drizzle modifier sub, 011128974
Strawberry Drizzle modifier no, 011128975
Strawberry Drizzle modifier light, 011128976
Strawberry Drizzle modifier regular, 011128977
Strawberry Drizzle modifier extra, 011128978
Sangria Spritz , 011130049&011130050&011130051
Puerto Rico Yauco Selecto Starbucks Reserve® Espresso Shot add, 011130629
Clover Puerto Rico Yauco Selecto Starbucks Reserve® , 011130638&011130639&011130640&011130641
Iced Clover Puerto Rico Yauco Selecto Starbucks Reserve® , 011130642&011130643&011130644
Pour Over Puerto Rico Yauco Selecto Starbucks Reserve® , 011130645&011130646&011130647&011130648
Iced Pour Over Puerto Rico Yauco Selecto Starbucks Reserve® , 011130649&011130650&011130651
Coffee Press Puerto Rico Yauco Selecto Starbucks Reserve® 3Cup, 011130653
Coffee Press Puerto Rico Yauco Selecto Starbucks Reserve® 8Cup, 011130654
Chemex Puerto Rico Yauco Selecto Starbucks Reserve® 24Oz, 011130655
Siphon Puerto Rico Yauco Selecto Starbucks Reserve® , 011130656
Clover X Puerto Rico Yauco Selecto Starbucks Reserve® , 011130657&011130658&011130659&011130660
Apple Crisp Macchiato , 011130839&011130840&011130841&011130842
Iced Apple Crisp Macchiato , 011130843&011130844&011130845
Apple Crisp Frappuccino® , 011130847&011130848&011130849
Apple Crisp Crème Frappuccino® , 011130850&011130851&011130852
Salted Caramel Cream Cold Foam modifier sub, 011130855
Salted Caramel Cream Cold Foam modifier no, 011130856
Salted Caramel Cream Cold Foam modifier light, 011130857
Salted Caramel Cream Cold Foam modifier regular, 011130858
Salted Caramel Cream Cold Foam modifier extra, 011130859
Spiced Apple Drizzle modifier sub, 011131094
Spiced Apple Drizzle modifier no, 011131095
Spiced Apple Drizzle modifier light, 011131096
Spiced Apple Drizzle modifier regular, 011131097
Spiced Apple Drizzle modifier extra, 011131098
Apple Brown Sugar sub, 011131099
Apple Brown Sugar add, 011131100
Apple Brown Sugar modifier extra, 011131101
Apple Brown Sugar modifier light, 011131102
Apple Brown Sugar modifier no, 011131103
Honey Malt Flavor modifier no, 011131738
Honey Malt Flavor modifier extra, 011131739
Honey Malt Flavor sub, 011131741
Splash of Non-Dairy Milk modifier sub, 011131898
Splash of Non-Dairy Milk modifier regular, 011131899
Splash of Non-Dairy Milk modifier no, 011131900
Splash of Non-Dairy Milk modifier light, 011131901
Splash of Non-Dairy Milk modifier extra, 011131902
Non-Dairy Whipped Cream modifier sub, 011131903
Non-Dairy Whipped Cream modifier no, 011131904
Non-Dairy Whipped Cream modifier light, 011131905
Non-Dairy Whipped Cream modifier regular, 011131906
Non-Dairy Whipped Cream modifier extra, 011131907
Non-Dairy Vanilla Sweet Cream modifier sub, 011131908
Non-Dairy Vanilla Sweet Cream modifier no, 011131909
Non-Dairy Vanilla Sweet Cream modifier light, 011131910
Non-Dairy Vanilla Sweet Cream modifier regular, 011131911
Non-Dairy Vanilla Sweet Cream modifier extra, 011131912
Costa Rica Naranjo Starbucks Reserve® , 011132088&011132089&011132090
Non-Dairy Milk modifier sub, 011132100
Non-Dairy Milk modifier no, 011132101
Non-Dairy Milk modifier light, 011132102
Non-Dairy Milk modifier regular, 011132103
Non-Dairy Milk modifier extra, 011132104
Blue Color modifier sub, 011132437
Blue Color modifier no, 011132438
Blue Color modifier light, 011132439
Blue Color modifier extra, 011132441
Green Color modifier sub, 011132442
Green Color modifier no, 011132443
Green Color modifier light, 011132444
Green Color modifier extra, 011132446
Yellow Color modifier sub, 011132447
Yellow Color modifier no, 011132448
Yellow Color modifier light, 011132449
Yellow Color modifier extra, 011132451
Sugar Cookie Oatmilk Latte , 011132709&011132710&011132711&011132712
Iced Sugar Cookie Oatmilk Latte , 011132713&011132714&011132715
Shot in the Dark , 011132877&011132878&011132879
Passion Guava Fizz , 011132880&011132881&011132882
Irish Cream Cold Foam modifier sub, 011133120
Irish Cream Cold Foam modifier no, 011133121
Irish Cream Cold Foam modifier light, 011133122
Irish Cream Cold Foam modifier regular, 011133123
Irish Cream Cold Foam modifier extra, 011133124
